station,WNS,frequency,region,district,city,commercial,service_area,ownership_type,content_type,License?,Year Created,Year Ended,Email,Phone,latitude,Manager Name,Manager Contact,History,Notes,Website,Owner Organization,Owner Name,Owner Profession,Politics,Religion,International?,Partners,TADIO?,Internews/Boresha Habari?,UNESCO?,BBC National Conversation,BBC Media Action,Farm Radio International,Twaweza?,Khanga Rue,Media Council Tanzania,Tanzania Media Foundation,Deutsche Welle,Watts,Height,Reach,TO DO,Alternative Stations?,Column1,Column2,Column3
Shinaz FM / Shnuz Radio FM Limited,,91.7,Kagera,Bukoba,Nyamukazi Bukoba Municipality,Commercial,District,Private,,Yes,2016,,Shinazfmradio2016@gmail.com,0769 682 821,"-1.3266093024580865, 31.82231246731592","Director - Bw. Iman Mwanakombo
Manager - Bi Mwanakombo Milongo",,,,,,,,,,,,,,,,,,,,,,,,,,very suspicious - no listed information about ownership,,,,
Vision FM / Radio Vision FM,,100,Kagera,Bukoba,Bukoba,Commercial,District,,Local News,,2010,,radiovisionfmtanzania@yahoo.com, 0767 989 829 / 0765 289 602,"-1.3419663338938732, 31.786859925286354","Valerian Fortunatus (Director)
Matrida Leopord Morandi (Manager)",radiovisionfmtanzania@yahoo.com,,,,Personal',Valerian Fortunatus,"Politician - Chadema
http://www.temco.udsm.ac.tz/images/stories/NEC/LIST-OF-CANDIDATES-FOR-PARLIAMENTARY-ELECTION.pdf",,,,,,,,,,,,,,,,,,,http://kagera.go.tz/vituo-vya-redio,,,,
Mpanda Radio FM,1,97,Katavi,Mpanda,Mpanda,Commercial,District,Community,Local News,,2013,,,,"-6.354144051527402, 31.05488926692492",Mr. Revocatus Msafiri,,,"Introduction
The Mpanda FM Radio is one of the Community Radio located in the remote area in the Katavi region in the south west of Tanzania
Mpanda FM is the Radio devoted to help the local people from the remote area to overcome the poverty, ignorance and to help communities to meet their development goals via broadcasting activities on republic of Tanzania at large stating with South and western zone of Tanzania
Radio ownership
Mpanda Radio FM is owned by the registered company called Mpanda radio FM Limited with registration certificate number 78298 by the Government of the United Republic of Tanzania.
Mpanda Radio FM is also registered by the Tanzania Telecommunication Regulatory Authority TCRA, Ministry of Industry and trade; either we are recognized by Tanzania Chamber of Commerce, Industry and Agriculture TCCIA na Tanzania Revenue Authority as Tax payer, we have Tax payer Identification Number 115-577-239 and assigned VAT registration number 40-015708 for Business located at Mpanda hotel, area plot number G, block number 35.
Leadership
Mpanda Radio FM has a good chain of command and it is governed by the Board of directors. We have three directors by shares and employments; also we have the production leadership and marketing.
Radio project target
This Radio is intended to help people to know what is taking place in the locality, nationally and International level and what are the projects hosted by the NGOs and individuals operating in the surroundings of their locality, and inform the public in general. The Radio also devoted to alleviate the problem of lack of information",https://mpandaradiotz.wordpress.com/about/,"Mpanda radio FM Limited
78298","Three on board of directors
Board Member: Prosper Kwigize
Director: Amin Mitha
","Prosper Kwigize is head of TADIO and works in radio
Amin mitha",,,,,,,,,,,,,,,,,,,Need to call,,,,
Pamoja FM Radio,,98.5,Katavi,Mpanda,Mpanda,,,,Music / top hits,,,,pamojafmradio@gmail.com,,,,,,"Pamoja FM Radio (PFR) is a commercial Radio owned by PAMOJA FM COMPANY LIMITED, A company registered under Tanzania ACT of companies on 16th October 2011 with registered number 83951. GENERAL OBJECTIVE: To broadcast live and recorded news, stories, programmer, events, dialogues and e.t.c To provide information services for public To produce and broadcast programs for public To encourage the participation of provision information and to act as means of communications Pamoja FM Radio (PFR) provides its services for 24 hours from mondays to sundays and the following are the core function and services provided but not limited to: News and story productions Investigation and researches for matter related media Documentations Archiving Media practical training, internships and job trainings Program preparation Consultancy services Advertisements and promotions Publicity Public ",https://www.facebook.com/pamojafmradiotz/,"PAMOJA FM COMPANY LIMITED
registration number 83951",,,,,,,,,,,,,,,,,,,,,,,,,
Joy / Radio Joy,,90.5,Kigoma,Kigoma,Kigoma,Community,District,Community,,,2016,,radiojoy@radiojoy.co.tz,"Tel: +255282803960
0768 386 899","-4.87640272056774, 29.629175992605262",,,,,https://radiojoyfm.co.tz/about-us/,"Joy in the Harvest
Radio JOY Fm, Kigoma is owned by the Organization called Joy in the Harvest, which has been in Kigoma for more than twenty-five years, We have a special emphasis on helping the poor, the disabled, and the disadvantaged through the program we produce.",Lowell and Claudia Wertz,Religious (International),,,,,,,,,,,,,,,,,,,,,Reach out?,,
Uvinza FM Community Radio,,,Kigoma,Uvinza,Uvinza,Non-commerical,District,Community,Community news,,2015,,furaharajabu02@gmail.com,Mobile: Tel: +255788094000; +255767571303,"-5.099065500553106, 30.3870540661177",,,,,,Ruchugi Salt Works,Mwl. Ayub Kalufya and his daughter Dr Nuru Kalufya,Business person / used to work for IRC & salt works limited,,,,,,,,,,,,,,,,,,,,,,,
Boma Hai Radio,,89.4,Kilimanjaro,Hai,Hai,Non-commercial,District,Community,,,2006,,,+255 27 2758441,"-3.3328443734960174, 37.14199570059304",Hilda Kileo,,,,,Hai District Council,Hai District Council,Government,Yes,No,No,,,,,,,,,,,,,,,,,,,,
Fountain Radio,,89.7,Kilimanjaro,Moshi,Moshi,Commericial,District,Religious,Gospel,Yes,2016,,,0715 822 304,"-3.3429385542597148, 37.33340512435583",,,,,,MTBC Ministries,"Bishop Dickson Mtalitinya
https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.mtbcministries.or.tz%2F%3Ffbclid%3DIwAR3TbTAFjwp8P3hy5N9Yq2-Il0Tr2AFmZRkEdeuCfnnmw5_cRg76sNFvKug&h=AT3yTP5mpnom3C_Gv0V1WDrDN4PuVNOzH5Vsn73D5DzWBtEdlEvS973tfNrMhcGn5HXvxon8ip1x39V7IkbcWYTUytutQS8GbaSrYwSdS0MnTUFA-Adav72JZ--XXu-43Q",Evangelical Bishop,,,,,,,,,,,,,,,,,,,,,,,
Kicheko Radio Live / Kicheko FM,,91.1,Kilimanjaro,Moshi,Moshi,Commercial,District,Private,,2020,,,,,"-3.3355490097880214, 37.307475026077284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kili FM (Radio) / Radio Kili,,87.5,Kilimanjaro,Moshi,Moshi,Commercial,Regional,Private,Entertainment/Local News,,2003,,radiokilifm@yahoo.com,"+255272751192
+255754318352","-3.370276281694531, 37.32227541933162",,radiokilifm@yahoo.com,Moshi,"Owners own security company as well

Radio Kili is a leading radio station that contributes in dissemination of education, information and entertainment to the public on different issues that occur from Tanzania and worldwide.

They have various educational programs in the fields of academia, health, environmental conservation as well social life, not forgetting entertainment.

Radio Kili FM Stereo Ltd was established in 6th January, 2003 with the objective of providing broadcasting services including advertisement of business entrepreneur marketing, Community development programs, sports, Health, environment, agriculture etc. in Tanzania.

Since its inception the Radio station has managed to cover 4 regions of northern Tanzania mainland namely: Kilimanjaro, Arusha, Manyara and Tanga. The radio reach both urban and the rural remote areas and has become favorites to our audiences.

The radio is owned privately by Tanzanians and is located in Moshi municipality, Kilimanjaro region.

Our programming is a combination of locally as well as nationally and internationally produced programs. Local programming includes music, public affairs and other specialty programming. Local, national and international programming includes news, public affairs, science and some entertainment programming.

https://www.tmf.or.tz/about-tmf/success-stories/160-1-5-ordinary-citizens-given-voice-to-speak-through-kili-fm.html",,,"Deo Lekule 30%
Mrs Deo Lekule 20%
Bosco Lekule 15%
Winnie Lekule 10%
Vanesa Lekule 15%
Emmanule Lekule 10%",Business,No,No,No,,,,,,,,,,,,,,,,,,,,
Banana FM,,98.7,Kilimanjaro,Moshi,Moshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moshi FM,1,90.2,Kilimanjaro,Moshi,Moshi,Commercial,District,Private,Entertainment/Local News,,2007,,radiomoshifm@yahoo.com,,"-3.3318275049737096, 37.36279791455187",,radiomoshifm@yahoo.com,Moshi,,"https://moshifm.co.tz/
https://moshifm907.radio12345.com/",Radio Moshi FM Ltd ,Philemon Ndesamburo (Deceased 2017),,Yes,,,,,,,,,,,,,,,,,,,,,,
New Life Radio Network,,96.7,Kilimanjaro,Moshi,Boma,,District,Religious,,,2015,,nlrnboma@gmail.com,0768 166 866,"-3.3060416723841115, 37.14260513265873",,,,,http://ieoafrica.org/portfolio/new-life-radio-network/,"New Life Foundation (International)
https://www.newlifeafrica.org/about",Pastor Glorious & Josephine Shoo,Pastors,,,,,,,,,,,,,,,,,,,,,,,
Sauti ya Injeli (Radio) / Sauti ya Injili,,92.2,Kilimanjaro,Moshi,Moshi,Religious,Regional,Religious,Local News,,1963,,radio@elct.org,"M-PESA 0758922922

TIGO-PESA 0655922922","-1.674324910703065, 29.21993116177566",Philemon Marc Fihavango,radio@elct.org,,,http://www.elct.org/TechServ/Radio/RVOGSITE/documents/index.html,Evangelical Lutheran Church of Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,
Shine FM,,95.1,Kilimanjaro,Moshi,Moshi,Religious,District,Religious,Gospel,,,,Tel: +255754320084/ 0714830823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kibo FM,,96.6,Kilimanjaro,Moshi,Moshi,,,,,,,,kibofm@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindi FM,,87.5,Lindi,Lindi,Lindi,Commercial,District,Private,,,,,lindifmradio@gmail.com,+255 713 228 478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashujaa FM / Radio Mashujaa FM,1,89.5,Lindi,Lindi,Lindi,Commercial,District,Private,News,No,2010,,mashujaaradio@gmail.com,,"-8.923883117447632, 39.51519809542058",,,,,https://mashujaafm.co.tz/?fbclid=IwAR19XBkb6OuP4ZO6XBykPbmC4hMEcMcG-T2inBzXbvPUphualpuP00njpSE,Mashujaa Group Limited,Hosseah Lugano,,,,,,,,,,,,,,,,,1000,1,100km,,,REACH OUT - recommended by voice of africa,,
Ruangwa FM,,88.4,Lindi,Ruangwa,Ruangwa,Commercial,District,,,No,2008,,ruangwafmradio@gmail.com,+255721884884,"-10.06621986398237, 38.928422846005056",Mwanaheri Ali ,,,,,,,,,,,,,,,,,,,,,,,100,30,90,,,,,
Manyara FM / Manyara Radio / Radio Manyara,,92.1,Manyara,Manyara,Babati,,,,,,,,"info@megafmradio.co.tz
",,"-4.208593816030095, 35.743085619109785",,715992666,,https://www.jamiiforums.com/threads/fursa-ndani-ya-babati-manyara.1504442/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunda FM,,92.1,Mara,Bunda,Bunda,Commercial,District,Private,Local entertainment/news,Yes,2015,,,,"-2.0199068870285073, 33.87119278928957",,,,"Former NGO developed by UNDP, then transferred to private business ownership",,,Respice Mkama,Small businessman - owns bar (no politics),,,,,,,,,,,,,,,,,,,,,,,
Mazingira FM,1,91.7,Mara,Bunda,Bunda,Community/Commercia,District,Private,Local News,,2011,,,,"-2.0183713658435547, 33.874545459958995",,+255-621-046-491,,,http://www.mazingirafm.co.tz/2018/02/kituo-cha-radio-mazingira-fm.html,Mazingira ,"Mramba Nyakinda
https://eo.wikipedia.org/wiki/Mramba_Simba_Nyamkinda",Businessman / Politician,,,,,,,,,,,,,,,,,,,,,,,
Sachita FM,,88.1,Mara,Tarime,Tarime,Commercial,District,Private,Local news,Yes,2018,,"info@sachitaradio.or.tz
sachita97@yahoo.co.uk",Phone: 0765088013,"-1.3429975294811218, 34.382450799086634",Ahmed Macha,"info@sachitaradio.or.tz, radiosachita5@gmail.com",,,"http://radiosachita.blogspot.com/
http://sachitaradio.or.tz/habari-56883982.html","Mwera Vision Foundation
45579",Peter Mwera,"Head of foundation / hospital / NGO
https://www.maraonlinenews.com/2020/07/hezbon-peter-mwera-afungua-pazia-fomu.html
",Ran for CCM MP in 2020,No,No,,,,,,,,,,,,,,,,Yes,,,,
Victoria FM,,90.6,Mara,Musoma,Musoma,Commercial,District,Private,Local News,2003,2009,,"victori2003@yahoo.com, victoriafm@africaonline.com","Mobile:+255 754 000906, TEL:+255 28 2622944; 2622091","-1.5457029612220659, 33.7968145320871",,victori2003@yahoo.com,Musoma,"Only play music now, stopped paying license fee a while ago. 
Started with a German guy who is married to a Tanzanian",www.victoriafm.blogspot.com,Victoria Fm & Co. Ltd,John Katute,,,,,,,,,,,,,,,,,,,,,,,,
Rorya FM,,90.3,Mara,Tarime,Tarime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access FM,,100.9,Mbeya,No,Mbeya,Commercial,District ,Private,Entertainment,Yes,2015,,accessfm100.9@gmail.com,0677 108 109,"-8.910297010968916, 33.44484745323616",Michael Ngalya,,,,,Access Computer LTD,Samuel Mtela,Businessman - owners shop in Mbeya city,No,No,No,,,,,,,,,,,,,,,,,,,,
Adonai FM Radio,,101.7,Mbeya,Mbeya,Mbeya,Religious,District,Religious,Religious,Yes,2017,,,,,,,,,https://www.youtube.com/channel/UCA_HQtNSgwk4lzpv_vzpjcA/featured,"Adonai Radio Station LTD
Living water international ministry ","Laurent magike
https://tz.linkedin.com/in/laurent-magike-76ab2635",Church leader / Businessman,No,Yes,No,,,,,,,,,,,,,,,,,,,,
Baraka FM,,107.6,Mbeya,Mbeya,Mbeya,Religious,District,Religious,Religious/Local News,,2008,,barakafmradio@yahoo.co.uk,,"-8.514706580002986, 33.385856374137916",,,Mbeya,,https://barakafmradio.co.tz/about.html,Morovian Church Tanzania,Rev. Ezekiel Yona,Reverend,No,Christian,Yes,,,,,,,,,,,,,,,,,,,,
Big Star FM,,106.5,Mbeya,Mbeya,Mbeya,Commerical ,District,Private,Entertainment,,2012,,kuramayuma@yahoo.com,+255767103882,,,,,,https://www.bigstarfm.co.tz/about-us/index.php#,"Mayuma investment Ltd,(MIC)","Mr. Kura Mayuma
Head of Indigenous Contractors Association
https://www.ippmedia.com/en/news/contractors%E2%80%99-body-drag-deputy-minister-court",Businessman - construction,No,No,No,,,,,,,,,,,,,,,,,,,,
Chai FM,,105.7,Mbeya,Rungwe,Tukuyu-Mbeya,Commercial,District,Private (Collective),News,,2015,,info@chaifm.co.tz,+255 25 255 2043,"-9.170631497000551, 33.54063751249659",Ally Kingo,,,"Chai Fm is a community radio established by the Rungwe Smallholders Tea Growers Association (RSTGA) in February 2015 as a means of communication with the farmers concerning on agricultural related issues. RSTGA was incorporated on 12th May 1998 as non-governmental and non-profit making organization under Tanzania Societies Ordinance of 1954, and later registered under new Non-Governmental Organization Act, 2002 with Certificate of Compliance No. 1804. RSTGA has established two subsidiary firms; the Trust and Development Fund",,Rungwe Smallholders Tea Growers Association,Collective,Tea growers,No,No,No,,yes,yes,,,,,,,,,,,,,,,,,
Dream FM,,91.3,Mbeya,Mbeya,Mbeya,Commercial,District,Community,Entertainment/News,,2014,,fredmsemwa@yahoo.com,"+255762600042
0715 455 980",-8.844532260115384,,,,"Runs ""Miss Mbeya""
91.3 Dream FM is an inspirational commercial Radio Station Broadcasting from Kawetere hills in Mbeya, Mbeya, Songwe, Sumbawanga and Parts of Iringa and Njombe region, reaching hundreds of thousands of listeners in the populated area of Mbeya City including Mwanjelwa, Uyole, Uhindini, Soweto, Mabatini, Mbalizi etc as well as the rest of districts in Mbeya including Rungwe (Tukuyu town), Kyela, Tunduma, Chunya, Makambako, Mbarali and parts of Ileje. The Radio’s motto “timiza ndoto yako” was designed to inspire the youth to attain their dreams by building their desire to succeed. The radio focuses on the youth and seeks to educate this clientele in a manner that builds a lifelong learning and maintaining focus on their dreams in life while providing educative entertainment through well researched and skilful programming.",,,,,,,,,,,,,,,,,,,,,,,Who owns Dream FM?,,,,
Generations FM Radio,,89.7,Mbeya,Mbeya,Mbeya,Commercial,District,Commercial,Entertainment,,2006,2016,,"TEL: +255 252500277
Mobile: +255 717 282828
+255 715 660556
FAX:+255 252500277","-8.910630556746343, 33.487829061454626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMCL Radio,,99.3,Mbeya,Mbeya,Mbeya,Religious,District,Religious,,,2016,,,Tel: +255757188656,"-8.905892531170375, 33.46086108213529",,,,,http://gmclmbeya.blogspot.com/,"GMCL Church
Gospel Miracle Church for All People",David Mpanji,Prophet,,,,,,,,,,,,,,,,,,,From start of facebook page,,,,
Kyela FM,,96.1,Mbeya,Kyela,Kyela,Non-Commercial,District,Community,Local News,,,,info@kyelafm.org,+255769981357,"-9.479634766048681, 33.843049935140904",Sawadi Jackson,info@kyelafm.org,"https://www.jamiiforums.com/threads/mbunge-wa-kyela-dr-harison-mwakyembe-aifunga-radio-ya-jamii-ya-mpinzani-wake-kisiasa.899245/
George Mwakalinga ran for CCM position in 2010
https://crp.vikes.fi/wp-content/uploads/2016/02/report-on-the-closure-of-kyela-fm-radio-and-other-forms-of-press-freedom-violations.pdf",,,Kyela Community Initiative Services,George Mwakalinga,Businessman,Yes - CCM (no office),No,No,,,,Yes,,,,,,,,,,,,,,,,
Mbeya Highlands FM Radio,1,92.5,Mbeya,Mbeya,Mbeya,Commercial,District,Private,Entertainment/Local News,,2014,,mbeyahighlands@yahoo.com,,"-8.887119092518025, 33.442526728934894",,mbeyahighlands@yahoo.com,Mbeya,,https://highlandsfm.co.tz/,Mbeya Highlands LLC,Jacqueline Mwakyambiki / Lawrence Mwakyambiki,Civil Engineer,No,No,No,,no,,,,,,,,,yes,,,,,,,,,
Rock FM,,93.2,Mbeya,Mbeya,Mbeya,Religious,District,Religious,Entertainment / Adventist,,2010,,rockfm93.2@gmail.com ,"0656462707
",-8.866666667,,rockfm93.2@gmail.com ,,,https://web.facebook.com/Rock-Fm-969-Mhz-Mbeya-166814616845184/about/?ref=page_internal,Adventist Church of TZ,Christopher Ogan,Reverend,No,Adventist,No,,,,,,,,,,,,,1000,,,,,,,
Rungwe FM Radio,,102.5,Mbeya,Mbeya,Mbeya,Commercial,,,,,,,,,"-9.173194679361517, 33.538942355747224",,,,"https://www.jamiiforums.com/threads/rungwe-fm-imewadia-karibuni-kusanyiko-kubwa.656747/
http://tabianchi.blogspot.com/2013/12/wakazi-wa-wilaya-ya-rungwe-kuja-na.html",,Christian Leadership and Gospel Ministry,Christopher Andendekisye Kitwika,CEO & Founder at True Road Technologies LTD,Yes - CCM,,,,,,,,Yes,,,,,,,,,,,,,,
Sweet FM,,999.9,Mbeya,,Mbeya,,,,,,,,,+255 759 361 432,"-8.8926917, 33.4287203",,E.Mbuza (director),,,,SWEET FM RADIO LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,
Ushindi FM,,98.6,Mbeya,Mbyea,Mbeya,Non - comercial,District,Religious,Religious/Local News,,2013,,marcorapha@yahoo.com,Mobile: +255 754383276,"-8.869036639499754, 33.51743612232561",Steward Mkisi,marcorapha@yahoo.com,Mbeya,,,Tanzania Assemblies of God (TAG) Church,"Dr. Barnabas Mtokambali (owns the whole church)
Steward Mkisi (Acting director)",Church Leader,No,Pentacostal,No,,,,,,,,,,,,,1000,,,,,,,
Bomba FM,,104.1,Mbeya,Mbeya,Mbeya,Commerical,District,Private,Entertainment/Local News,2013,2013,,bombafm103.6@yahoo.com,,"-5.19267488638233, 33.441085551584415",,bombafm103.6@yahoo.com,Mbeya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUST FM,,104.5,Mbeya,Mbeya,Mbeya,,District,None,Local News,,2019,,,,,,,,,https://www.facebook.com/MUSTFM.OFFICIAL/,Mbeya University of Science and Technology,Mr. Joseph Mhilu (Director),,,,,,,,,,,,,,,,,,,,,,,,
Hekima FM / Radio Hekima,,102.7,Mbinga,Mbinga,Mbinga,Religious,District,Religious,Religious,No,,,,,"-11.146704189103353, 35.1997335535898",Ms. Theophor Ndunguru (Project Manager),,,,,Diocese of Mbinga,Catholic Church,Catholic Church,No,Catholic,Yes,,,,,,,,,,,,,1000,,,,,,,
Abood Radio,,"89.7
88.3",Morogoro,Morogoro,Morogoro,Commercial,District,Private,Entertainment/Local News,,2009,,aboodmediatz@yahoo.com,"+255 23 2603754
2613877; 2601152",-6.816666667,,,,,,Abood Media,Abdul-Aziz Mohamed Abood,CCM Politician,,,,,,,,,,,,,,,,,,,"(1) check that this is the year it started
(2) is this a regional or district radio station?",,,,
Africa Swahili FM,,93.1,Morogoro,Morogoro,Morogoro,Commercial ,District ,Private,Entertainment and news,,2017,,,,"-6.82736632857, 37.6684531571",,,,,https://delinagroup.com/services/tv-radio-advertising/,Delina Group,Davis Mosha,"Businessman - transportation 
http://delinagroup.com/about-us/delina-delivering-kenol-kobils-promise/",,,,,,,,,,,,,,,,,,,,,,,
Imaan FM (Radio),,90.3,Morogoro,Morogoro,Morogoro,Religious,Regional,Religious,Religious,,,,imaanfm@yahoo.com,,"-6.8120506161210335, 37.6643432",,imaanfm@yahoo.com,,Also own TV Imaan,,The Islamic Foundation,Aref Nadhi (Chairman),,,,,,,,,,,,,,,,,,,,,,,,
MUM Radio,,91,Morogoro,Morogoro,Morogoro,Religious,District,Religious,Religious/Local News,,2012,,mumfm14@gmail.com,,"-6.866666667, 37.71666667",,mumfm14@gmail.com,Morogoro,University radio station,,"Muslim University of Morogoro
Muslim Development Foundation",,,,,,,,,,,,,,,,,,,,,Who runs the Muslim Development Foundation?,,,,
Pambazuko FM Radio,1,90.7,Morogoro,Ifikara,Ifikara,Commercial,District,Community,Community,,,,,"Mobile: +255 713 484628
+255 713 888877","-8.139692199912677, 36.68170653962951",,,,,https://pambazukofmlive.blogspot.com/,TUDECO,Denis Libena,"Frequency Monitoring Evaluation, Tanzania. Communications Regulatory Authority",No,No,No,,,,,,,,,,,,,,,,,,,,
Planet FM,1,87.5,Morogoro,Morogoro,Morogoro,Commerical,District,Private,Entertainment,,2011,,,Mobile: +255 712179816,"-6.824943481643366, 37.65373991609348",Natalis Natalis,,,Provisional license in 2009 full in 2011,,,Fredrick Mlingo (Find Indian fellow behind him),Indian family,,,,,,,,,,,,,,,,,,,We are workingw ith the,,,,
Sauti ya Uzima,,101.5,Morogoro,Morogoro,Morogoro,Religious,District,Religious,Gospel,,2019,,"tito@sautiyauzima.com
info@sautiyauzima.com","0719 781 091
+255.71.978.1091","-6.8096849112874835, 37.70634849205265",,,,,http://www.sautiyauzima.com/,"Faith Baptist Church of Morogoro
http://www.findglocal.com/TZ/Morogoro/678421022182740/Faith-Baptist-Church-of-Morogoro",Jerry Wyatt,Religious (International),,,,,,,,,,,,,,,,,,,,,,,
Siloam Radio FM,,97.5,Morogoro,Morogoro,Morogoro,Religious,District,Religious,Religious,,,,,,"-6.783475814966756, 37.659298021540856",,,,,https://www.pinterest.com/pin/776378423245220703/,"Pool of Siloam Church / Siloam Ministry International
https://web.facebook.com/A1halisi/?_rdc=1&_rdr
https://www.linkedin.com/in/siloam-network-98633188/?originalSubdomain=tz
https://web.facebook.com/thelandofsolutions/?_rdc=1&_rdr",EAGT Church,,No,Evangelical,Maybe,,,,,,,,,,,,,,,,,,,,
SUA FM,,101.1,Morogoro,Morogoro,Morogoro,Non-Commercial,District,University,News,Yes,2016,,suamedia@sua.ac.tz,0766 118 585,"-6.81667, 37.6667",,,,"Has changed its broadcast several times
https://www.sua.ac.tz/news/sua-fm-presenter-calvin-gwabara-wins-excellence-journalism-awards","https://www.ice.sua.ac.tz/suatv/index.php/en/habari/464-sua-fm-yarudi-tena-hewani
http://www.ice.sua.ac.tz/suatv
",Sauti Agricultural University,Sauti Agricultural University,University,,,,,,,,,,,,,,,,,,,Source on start date is just first facebook page,,,,
Top FM,,"99.3
99.5",Morogoro,Morogoro,Morogoro,Non-commercial,District,Private,Entertainment/Local News,First licence 2009,2013,,topradio77@yahoo.com,MOBILE:+255715306699;    +255787306699,-6.816666667,,topradio77@yahoo.com,Morogoro,,http://www.topradiotz.org/,Zoazoa products,Siza and Steven Lukindo,Business owners / educators,No,Yes,No,,,,,,,,,,,,,,,,,,,,
Ukweli / Radio Ukweli,,92.6,Morogoro,Morogoro,Morogoro,Religious,District,Religious,Religious,,2000,,ukweli@yahoo.co.uk,,"-6.82652133539994, 37.6714269547942",,ukweli@yahoo.co.uk,,,,Catholic Church,"Catholic Diocese, Bishop Mkude",Catholic Church,No,Catholic,Yes,,,,,,,,,,,,,,,,,,,,
Ulanga FM,,91.5,Morogoro,Ulanga,Ulanga,Community,District,Government,Entertainement/local News,First licence 2011,2011,,ulanga.council@gmail.com,+255232620340,"-8.607212894056852, 36.72400777501514",,,,,,Ulanga District Council,Government,,Government,,,,,,,,,,,,,,,,,,,,,,
Mvawata FM,,106.7,Morogoro,Morogoro,Morogoro,Community,District,Private,News,,2020,,,,"-6.811896792411701, 37.71145472427806",,,,,"https://www.mviwata.or.tz/mviwata-fm-radio-station-106-7-mhz-morogoro-officially-goes-on-air/
https://www.facebook.com/MVIWATAFM/",Mviwata,Stephen Ruvuga,Small farmers,No,No,No,,,,,,,,,,,,,,,,,,,,
Jamii Kilosa / Radio Jamii Kilosa,,102.5,Morogoro,Kilosa,Kilosa,Community,District,Community,News,,2016,,,0738 922 396,-6.8268959718400675,,,,I am not sure this exists,,Kilosa District Council,Kilosa District Council,Government,Government,No,No,,,,,,,,,,,,,,,,,,,,
Fadhilia / Radio Fadhila,,95,Mtwara,Mtwara,Masasi,Community,District,Community,Local News,No,2013,,edwinmpokasye@yahoo.com,,"-10.728245248867388, 38.80510499714305",,edwinmpokasye@yahoo.com,Masasi,May be offline,http://fadhilafm.co.tz/,,,,,,,,Yes,,Yes,,,,,,,,,250,40,50,,,,,
HFM,,94.9,Mtwara,Mtwara,Mtwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same owner as Mashujaa FM,,,,
Info Radio / Info FM,,92.1,Mtwara,Mtwara,Mtwara,Commercial,District,Private,Local News,,2011,2020,inforadio@gmail.com,,-10.26666667,,inforadio@gmail.com,Mtwara,Karimu from JamiiFM says it was shut down,,,Alex Chibunu,"Startimes Mtwara Chief Executive Officer 
King Davis College
Lives in Arusha",,,,,,,,,,,,,,,,14,,,,,,,
Jamii FM,1,90.5,Mtwara,Mtwara,Naliendele,Community,District,Community,Local News,,2012,,amuarushita@gmail.com,+255 712 087 580,"-10.35577241942802, 40.163744411142105",,amuarushita@gmail.com,,,https://www.facebook.com/Mtukwao-Community-Media-319991644723056/,Mtukwao Community Media,Mtukwao Community Media,Commnity NGO,No,No,No,,,,,,,,,,,,,,,,(1) Working with them,,,,
MAM FM / MAM FM Radio,,106.1,Mtwara,Msasi,Msasi,Commercial,District,Private,Local News,,,,,0655 398 976,"-10.72869449453134, 38.80544923997191",,,,,https://web.facebook.com/Mam-Fm-RADIO-1061-Masasi-1227787687246675/,,,,,,,,,,,,,,,,,,,,,,,,,,
Muslim Radio Ahmadiya,,99.3,Mtwara,Mtwara,Mtwara,Religious,District,Religious,Religious,,,,,+255 (0) 744374 or +255 (0)715374322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newala FM / Radio wananchi Newala,,98,Mtwara,Newala,Newala,Government,District,State,Entertainment / Music,,2012,,,Tel: +255786774433,"-10.951357023587976, 39.26390355310778",,,,"Newala FM Radio was found in 2012, It is the Radio owned by Newala District council in Mtwara Region. The Radio was registered officially in 2015 with the registration number TCRA/CSRD/04/2015 to provide District non – commercial content services (Radio broadcasting) to Newala district and nearby Regions. The Radio transmits its broadcast on 98.0 MHz frequency. Newala FM Radio covers its broadcasting into three regions of Mtwara, Lindi and Ruvuma(Tunduru District).",,Newala District Council,Government,Local Government,,,,,,,,,,,,,,,,2000,60,120,Contact,,,,
